vessel,service,ata,atb,ats,liner,berth window,berth,berth status
MSC AGADIR MM 835A,WMED,26/09/18 00:00,26/09/18 03:54,26/09/18 18:40,MSC,26/09/2018 07:00,2,IN
MOL LONDRINA 0837N,IPANE-ASAS,27/09/18 02:00,27/09/18 03:33,28/09/18 13:40,ONE,27/09/2018 13:00,1,IN
MSC LILY NA 838R,NWC1,28/09/18 02:00,28/09/18 03:18,28/09/18 20:40,MSC,27/09/2018 07:00,2,OUT
FERNÃO DE MAGALHÃES 052S,ALCT2,28/09/18 11:30,28/09/18 12:45,29/09/18 01:15,ALI,28/09/2018 13:00,3,IN
MSC FIAMMETTA UA 838R,USA-STRING,28/09/18 03:00,28/09/18 19:50,29/09/18 09:10,MSC,28/09/2018 19:00,1,IN
MAERSK LINS 1811,NEO BOSSA,28/09/18 18:34,29/09/18 00:37,29/09/18 17:40,MAE,29/09/2018 01:00,2,IN
DIEGO GARCIA 009S,ALCT2,29/09/18 02:30,29/09/18 03:34,30/09/18 19:44,ALI,21/09/2018 13:00,3,OUT
MAERSK LABREA 1814,NEO BOSSA,29/09/18 22:34,30/09/18 01:30,01/10/18 00:48,MAE,30/09/2018 01:00,1,IN
MSC MELINE MM 838R,WMED,30/09/18 21:00,30/09/18 23:37,01/10/18 23:37,MSC,02/10/2018 01:00,3,IN
CCNI ANDES NA 836A,NWC1,02/10/18 07:00,02/10/18 09:20,03/10/18 02:10,HLC,02/10/2018 19:00,2,IN
MOL ANCHORAGE 0834S,IPANE-ASAS,02/10/18 11:00,02/10/18 13:50,03/10/18 12:20,ONE,30/09/2018 01:00,1,OUT
MSC AZOV MM 836A,WMED,03/10/18 03:00,03/10/18 05:55,03/10/18 21:00,MSC,03/10/2018 07:00,3,IN
UASC UMM QASR NA 839R,NWC1,04/10/18 02:30,04/10/18 05:00,05/10/18 04:25,HLC,04/10/2018 07:00,1,IN
MSC ALBANY 0838N,IPANE-ASAS,04/10/18 05:00,04/10/18 06:35,05/10/18 19:07,ONE,04/10/2018 13:00,3,IN
MSC MARINA UA 836A,USA-STRING,04/10/18 11:00,05/10/18 01:25,05/10/18 20:06,MSC,01/10/2018 07:00,2,OUT
CONTI LYON UA 839R,USA-STRING,05/10/18 06:00,05/10/18 12:50,06/10/18 03:10,MSC,05/10/2018 19:00,1,IN
CMA CGM MAGDALENA 0NS1BS1MA,NEO BOSSA,05/10/18 07:30,06/10/18 01:35,07/10/18 09:40,CMA,06/10/2018 01:00,2,IN
CMA CGM LITANI 0NS18N1MA,NEO BOSSA,06/10/18 04:00,06/10/18 14:35,07/10/18 15:41,CMA,07/10/2018 01:00,1,IN
MSC NAOMI FI 835A,IPANE-ASAS,06/10/18 17:42,07/10/18 14:16,08/10/18 10:07,MSC,07/10/2018 01:00,2,IN
MSC CADIZ UA 837A,USA-STRING,08/10/18 05:00,08/10/18 06:25,09/10/18 00:45,MSC,08/10/2018 07:00,3,IN
MSC AGADIR MM 839R,WMED,07/10/18 20:30,08/10/18 09:08,09/10/18 12:41,MSC,09/10/2018 01:00,1,IN
VICENTE PINZON 040S,ALCT2,08/10/18 22:00,08/10/18 23:25,09/10/18 10:14,ALI,05/10/2018 13:00,2,OUT
MSC ADELAIDE MM 837A,WMED,09/10/18 22:00,10/10/18 00:20,10/10/18 15:40,MSC,10/10/2018 07:00,1,IN
MSC BRUNELLA NA 837A,NWC1,10/10/18 00:00,10/10/18 01:30,10/10/18 21:45,MSC,09/10/2018 19:00,2,OUT
MONTE SARMIENTO 086S,ALCT2,11/10/18 07:30,11/10/18 08:49,11/10/18 16:50,ALI,12/10/2018 13:00,2,IN
MSC GIULIA FI 839R,IPANE-ASAS,11/10/18 01:30,11/10/18 03:30,12/10/18 15:30,MSC,11/10/2018 13:00,1,IN
MSC MARINA UA 840R,USA-STRING,12/10/18 01:00,12/10/18 02:50,12/10/18 16:05,MSC,12/10/2018 19:00,2,IN
MSC ELODIE NA 840R,NWC1,12/10/18 02:30,12/10/18 03:55,12/10/18 23:10,MSC,11/10/2018 07:00,3,OUT
MAERSK LABERINTO 1811,NEO BOSSA,12/10/18 18:00,12/10/18 19:35,13/10/18 09:22,MAE,13/10/2018 01:00,2,IN
MAERSK LINS 1812,NEO BOSSA,13/10/18 03:30,13/10/18 05:20,13/10/18 23:10,MAE,14/10/2018 01:00,1,IN
