BERTH_WINDOW,CHEGADA_BARRA,PREVISAO_ATRACACAO,ESCA_DTHR_ATRACACAO,INICIO_OPERACAO,FIM_OPERCACAO,DESATRACACAO,NAVI_NOME,HINA_QTDE_TOTAL_MOV,HINA_CMPH,SERVICO,LINER,BERCO_ATRACACAO
2019/01/10 16:00:00,2019/01/10 23:12:00,2019/01/11 07:00:00,2019/01/11 05:55:00,2019/01/11 08:01:00,2019/01/11 17:12:00,2019/01/11 18:00:00,MSC MARIANNA,692,"35,46",USA-STRING,MSC,BTP 3
2019/03/18 07:00:00,2019/03/20 19:30:00,2019/03/20 21:00:00,2019/03/20 21:00:00,2019/03/20 23:00:00,2019/03/21 10:42:00,2019/03/21 11:45:00,CATHERINE C,1018,"30,79",USA-STRING,MSC,BTP 2
2018/01/01 00:00:00,2019/01/16 12:00:00,2019/01/16 15:00:00,2019/01/16 14:20:00,2019/01/16 15:26:00,2019/01/16 20:09:00,2019/01/16 23:50:00,FERNÃO DE MAGALHÃES,437,"37,16",ALCT2,ALI,BTP 1
2019/01/03 07:00:00,2019/01/03 02:00:00,2019/01/03 04:00:00,2019/01/03 04:04:00,2019/01/03 07:29:00,2019/01/03 19:30:00,2019/01/03 20:14:00,UASC AL KHOR,683,"32,04",NWC1,HLC,BTP 1
2019/03/26 19:00:00,2019/03/26 11:00:00,2019/03/26 13:00:00,2019/03/26 12:31:00,2019/03/26 14:33:00,2019/03/27 06:05:00,2019/03/27 09:20:00,UASC UMM QASR,1687,"34,5",NWC1,HLC,BTP 1
2019/03/05 01:00:00,2019/03/03 12:48:00,2019/03/04 02:00:00,2019/03/04 01:50:00,2019/03/04 03:28:00,2019/03/04 20:03:00,2019/03/04 23:50:00,MSC NERISSA,889,"29,05",WMED,MSC,BTP 1
2019/03/30 19:00:00,2019/03/30 06:00:00,2019/03/30 13:00:00,2019/03/30 14:52:00,2019/03/30 15:56:00,2019/03/31 05:09:00,2019/03/31 08:25:00,LOG-IN RESILIENTE,1291,"39,03",VITORIA,MSC,BTP 3
2019/03/25 07:00:00,2019/03/26 10:00:00,2019/03/26 11:00:00,2019/03/26 11:07:00,2019/03/26 13:24:00,2019/03/26 19:55:00,2019/03/27 00:52:00,MSC LUDOVICA,599,"34,05",USA-STRING,MSC,BTP 3
2019/02/14 07:00:00,2019/02/14 03:30:00,2019/02/14 05:00:00,2019/02/14 05:30:00,2019/02/14 07:37:00,2019/02/14 20:01:00,2019/02/15 05:45:00,MSC ELODIE,1061,"31,73",NWC1,MSC,BTP 1
2018/12/08 01:00:00,2018/12/07 14:00:00,2018/12/07 17:00:00,2018/12/07 15:30:00,2018/12/07 16:58:00,2018/12/08 00:44:00,2018/12/08 07:20:00,MAERSK LABERINTO,844,"35,02",NEO BOSSA,MAE,BTP 2
